"","PERSON_ID","DISPLAY_LAST_COMMA_FIRST","DISPLAY_FIRST_LAST","ROSTERSTATUS","FROM_YEAR","TO_YEAR","PLAYERCODE","PLAYER_SLUG","TEAM_ID","TEAM_CITY","TEAM_NAME","TEAM_ABBREVIATION","TEAM_CODE","TEAM_SLUG","GAMES_PLAYED_FLAG","OTHERLEAGUE_EXPERIENCE_CH"
"593","76311","Burris, Art","Art Burris","0","1950","1951","HISTADD_art_burris","art_burris","0","","","","",NA,"Y","00"
"594","675","Burrough, Junior","Junior Burrough","0","1995","1995","junior_burrough","junior_burrough","0","","","","",NA,"Y","00"
"595","76313","Burrow, Bob","Bob Burrow","0","1956","1957","HISTADD_bob_burrow","bob_burrow","0","","","","",NA,"Y","00"
"596","1629126","Burton, Deonte","Deonte Burton","1","2018","2019","deonte_burton","deonte_burton","1610612760","Oklahoma City","Thunder","OKC","thunder","thunder","Y","11"
"597","76314","Burton, Ed","Ed Burton","0","1961","1964","HISTADD_ed_burton","ed_burton","0","","","","",NA,"Y","00"
"598","416","Burton, Willie","Willie Burton","0","1990","1998","willie_burton","willie_burton","0","","","","",NA,"Y","00"
"599","76316","Burtt, Steve","Steve Burtt","0","1984","1992","HISTADD_steve_burtt","steve_burtt","0","","","","",NA,"Y","00"
"600","76317","Buse, Don","Don Buse","0","1976","1984","HISTADD_don_buse","don_buse","0","","","","",NA,"Y","00"
"601","202221","Butch, Brian","Brian Butch","0","2009","2009","brian_butch","brian_butch","0","","","","",NA,"Y","01"
"602","76318","Butcher, Donnie","Donnie Butcher","0","1961","1965","HISTADD_donnie_butcher","donnie_butcher","0","","","","",NA,"Y","00"
"603","76319","Butler, Al","Al Butler","0","1961","1964","HISTADD_al_butler","al_butler","0","","","","",NA,"Y","00"
"604","2406","Butler, Caron","Caron Butler","0","2002","2015","caron_butler","caron_butler","0","","","","",NA,"Y","00"
"605","202364","Butler, Da'Sean","Da'Sean Butler","0","2010","2010","da'sean_butler","dasean_butler","0","","","","",NA,"N","01"
